name_of_institution,state,in_state_tuition,out_of_state_tuition,on_campus_housing,off_campus_housing
Talladega College,AL,15650,15650,6704,3200
Tuskegee University,AL,23440,23440,9844,10055
University of Phoenix,AZ,17488,17488,N/A,16716
California State University-Dominguez Hills,CA,7064,18944,16886,20258
University of Bridgeport,CT,35760,35760,16350,8776
Strayer University,DC,13920,13920,N/A,9438
Barry University,FL,33450,33450,13500,17442
Bethune-Cookman College,FL,14794,14794,10396,10396
Albizu University-Miami,FL,13128,13128,N/A,27525
Eckerd College,FL,50374,50374,14268,14268
Edward Waters University,FL,14878,14878,8010,8992
Embry-Riddle Aeronautical University,FL,42304,42304,13670,13670
Flagler College,FL,26610,26610,14350,12500
Florida A&M University (FAMU),FL,5785,17725,11644,9872
Florida Atlantic University (FAU),FL,4879,17324,12536,14840
Florida College,FL,18920,18920,10750,12550
Florida Gulf Coast University (FGCU),FL,6118,25162,10914,10914
Florida Hospital College of Health Sciences,FL,20880,20880,13728,18255
Florida Institute of Technology,FL,44360,44360,14340,14340
Florida International University (FIU),FL,6565,18963,12156,12500
Florida Memorial University,FL,19110,19110,9656,14000
Florida Southern College,FL,42360,42360,13800,13800
International College,FL,26700,26700,N/A,2111
Jacksonville University,FL,46180,46180,16550,17730
Keiser University,FL,24136,24136,N/A,N/A
Lynn University,FL,42950,42950,13750,11728
Nova Southeastern University,FL,37080,37080,15950,18018
Palm Beach Atlantic University,FL,37990,37990,12610,11629
Polytechnic University of the Americas,FL,14262,14262,N/A,12781
Rollins College,FL,58300,58300,16190,13620
Southeastern University,FL,31732,31732,11020,8920
St. Leo University,FL,28360,28360,15724,13392
St. Thomas University,FL,34770,34770,12478,14688
Stetson University,FL,55220,55220,16030,16030
The University of Tampa,FL,33424,33424,12676,12000
University of Miami (UM),FL,59926,59926,21580,22446
University of Florida (UF),FL,5656,18786,12740,12660
University of South Florida (USF),FL,6410,17324,13595,12170
Warner University,FL,28160,28160,10540,11800
Webber International University,FL,32150,32150,12600,10496
Georgia Institute of Technology,GA,11764,32876,12760,12760
Indiana University,IN,9992,21734,11483,11483
Illinois Institute of Technology,IN,51763,51763,16528,15300
Berklee College of Music,MA,50270,50270,19440,19440
Mount Holyoke College,MA,64142,64142,18838,14920
Smith College,MA,61568,61568,21310,10418
Wheaton College,MA,62080,62080,15430,15430
University of Maryland University College,MD,11505,40306,15416,15902
Kettering University,MI,46380,46380,9500,9500
Michigan State University,MI,15988,43372,11754,11754
Siena Heights University,MI,29778,29778,13240,13240
Capella University,MN,14436,14436,N/A,6870
Walden University,MN,12498,12498,N/A,17496
Saint Peter's University,NJ,14756,14756,17590,7500
Canisius University,NY,32720,32720,13160,8000
Long Island University,NY,41642,41642,17354,25000
The New School,NY,56386,56386,29874,29874
Heidelberg College,OH,33628,33628,11700,6750
University of Puerto Rico,PR,5954,5954,N/A,11385
Drexel University,PA,60663,60663,17550,17874
The University of Texas Rio Grande Valley,TX,9859,19939,9662,9780
University of Wisconsin-Madison,WI,11205,40603,13500,13500
